pr,ease,t_ms,seamI_deg,seamO_deg,inner_rMin,inner_rMax,outer_rMin,outer_rMax,00 - Inbox_arcFrac,00 - Inbox_alphaFrac,01 - Projects_arcFrac,01 - Projects_alphaFrac,02 - Areas_arcFrac,02 - Areas_alphaFrac,04 - Daily Notes_arcFrac,04 - Daily Notes_alphaFrac,05 - Meeting Notes_arcFrac,05 - Meeting Notes_alphaFrac,06 - Zettelkasten_arcFrac,06 - Zettelkasten_alphaFrac,07 - Weekly Reviews_arcFrac,07 - Weekly Reviews_alphaFrac,08 - Archive_arcFrac,08 - Archive_alphaFrac,09 - Maps of Content_arcFrac,09 - Maps of Content_alphaFrac,10 - Literature Notes_arcFrac,10 - Literature Notes_alphaFrac,11 - Clippings_arcFrac,11 - Clippings_alphaFrac,12 - Journal_arcFrac,12 - Journal_alphaFrac,13 - Someday Maybe_arcFrac,13 - Someday Maybe_alphaFrac,14 - Reading List_arcFrac,14 - Reading List_alphaFrac,15 - Courses_arcFrac,15 - Courses_alphaFrac,(vault root)_arcFrac,(vault root)_alphaFrac,03 - Resources_arc,03 - Resources_noteArc
0.0000,0.0000,0,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64.9,61.1
0.0030,0.0000,15.5,10.68,6.17,1105.9,1754.4,2656.7,3936.7,0.997,1,1,1,1,1,1.001,1,1,1,1,1,1,1,1.001,1,0.998,1,0.997,1,0.998,1,0.998,1,0.997,0.999,0.997,1,1.001,1,0.997,0.999,65,61.2
0.0050,0.0001,23.6,10.68,6.17,1105.9,1754.4,2656.7,3936.8,0.996,0.999,1,1,1,1,1.001,1,1,1,1,1,1,1,1.001,1,0.997,1,0.995,1,0.997,1,0.997,1,0.996,0.998,0.996,1,1.001,1,0.996,0.998,65,61.2
0.0060,0.0001,37.6,10.67,6.17,1105.9,1754.4,2656.7,3936.8,0.994,0.998,1,1,1,1,1.002,1,1,1,1,1,1,1,1.002,1,0.996,1,0.994,1,0.996,1,0.996,1,0.994,0.997,0.994,1,1.002,1,0.994,0.997,65,61.3
0.0080,0.0002,54.4,10.66,6.17,1105.9,1754.5,2656.7,3936.9,0.992,0.996,1,1,1,1,1.003,1,1,1,1,1,1,1,1.003,1,0.995,1,0.992,1,0.995,1,0.995,0.999,0.992,0.995,0.992,1,1.002,1,0.992,0.995,65.1,61.3
0.0110,0.0004,70.8,10.66,6.17,1105.9,1754.5,2656.7,3937,0.99,0.994,1,0.999,1,1,1.003,1,1,1,1,1,1,1,1.003,1,0.993,1,0.99,0.999,0.993,0.999,0.993,0.998,0.99,0.991,0.99,1,1.003,1,0.99,0.991,65.1,61.3
0.0130,0.0005,87.7,10.65,6.17,1105.9,1754.5,2656.7,3937.2,0.988,0.991,1,0.999,1.001,1,1.004,1,1.001,1,1.001,1,1.001,1,1.004,1,0.991,0.999,0.987,0.999,0.991,0.999,0.991,0.998,0.988,0.986,0.988,1,1.004,1,0.988,0.986,65.2,61.4
0.0160,0.0008,104.4,10.64,6.17,1105.9,1754.6,2656.7,3937.5,0.985,0.987,0.999,0.998,1.001,1,1.005,1,1.001,1,1.001,1,1.001,1,1.005,1,0.989,0.999,0.985,0.999,0.989,0.998,0.989,0.997,0.985,0.98,0.985,1,1.005,1,0.985,0.98,65.2,61.4
0.0190,0.0011,121.2,10.63,6.17,1105.9,1754.7,2656.7,3937.8,0.983,0.982,0.999,0.998,1.001,1,1.006,1,1.001,1,1.001,1,1.001,1,1.006,1,0.988,0.999,0.982,0.999,0.988,0.998,0.988,0.996,0.983,0.974,0.983,1,1.006,1,0.983,0.974,65.3,61.5
0.0210,0.0013,137.7,10.64,6.17,1105.9,1754.8,2656.7,3938.2,0.981,0.977,0.998,0.996,1.001,1,1.007,1,1.001,1,1.001,1,1.001,1,1.007,1,0.986,0.999,0.98,0.998,0.986,0.997,0.986,0.994,0.981,0.966,0.981,1,1.007,1,0.981,0.966,65.3,61.5
0.0240,0.0017,154.2,10.63,6.17,1105.9,1754.9,2656.7,3938.7,0.978,0.972,0.997,0.995,1.002,1,1.008,1,1.002,1,1.002,1,1.002,1,1.008,1,0.984,0.998,0.978,0.998,0.984,0.996,0.984,0.993,0.978,0.958,0.978,1,1.007,1,0.978,0.958,65.4,61.6
0.0260,0.0020,170.9,10.62,6.19,1105.9,1755,2656.7,3939.2,0.976,0.966,0.996,0.993,1.002,1,1.008,1,1.002,1,1.002,1,1.002,1,1.008,1,0.982,0.998,0.975,0.997,0.982,0.996,0.982,0.992,0.976,0.949,0.976,1,1.008,1,0.976,0.949,65.4,61.6
0.0290,0.0025,187.6,10.62,6.19,1105.9,1755.1,2656.7,3939.9,0.974,0.96,0.994,0.992,1.002,1,1.009,1,1.002,1,1.002,1,1.003,1,1.009,1,0.98,0.997,0.973,0.997,0.98,0.995,0.98,0.99,0.974,0.939,0.974,1,1.009,1,0.974,0.939,65.5,61.7
0.0320,0.0030,204.2,10.63,6.19,1105.9,1755.3,2656.7,3940.6,0.972,0.953,0.992,0.989,1.003,1,1.01,1,1.003,1,1.003,1,1.003,1,1.01,1,0.979,0.996,0.971,0.996,0.979,0.994,0.979,0.988,0.972,0.929,0.972,1,1.01,1,0.972,0.929,65.5,61.7
0.0340,0.0034,221.1,10.62,6.18,1105.9,1755.5,2656.7,3941.4,0.97,0.946,0.99,0.986,1.004,1,1.011,1,1.004,1,1.004,1,1.004,1,1.011,1,0.977,0.996,0.969,0.995,0.977,0.993,0.977,0.986,0.97,0.918,0.97,1,1.01,1,0.97,0.918,65.6,61.8
0.0370,0.0040,237.6,10.63,6.18,1105.9,1755.7,2656.7,3942.2,0.967,0.938,0.988,0.983,1.004,1,1.012,1,1.004,1,1.004,1,1.004,1,1.012,1,0.975,0.995,0.967,0.994,0.975,0.992,0.975,0.984,0.967,0.907,0.967,1,1.011,1,0.967,0.907,65.6,61.8
0.0390,0.0044,254.4,10.62,6.2,1105.9,1755.9,2656.7,3943.2,0.965,0.93,0.985,0.98,1.005,1,1.012,1,1.005,1,1.005,1,1.005,1,1.012,1,0.973,0.994,0.965,0.993,0.973,0.991,0.973,0.982,0.965,0.895,0.965,1,1.012,1,0.965,0.895,65.7,61.9
0.0420,0.0051,271,10.61,6.2,1105.9,1756.1,2656.7,3944.2,0.963,0.922,0.982,0.976,1.006,1,1.013,1,1.006,1,1.006,1,1.006,1,1.013,1,0.971,0.993,0.963,0.992,0.971,0.99,0.971,0.98,0.963,0.882,0.963,1,1.013,1,0.963,0.882,65.7,61.9
0.0450,0.0059,287.7,10.63,6.2,1105.9,1756.3,2656.7,3945.3,0.961,0.913,0.978,0.971,1.007,1,1.014,1,1.007,1,1.007,1,1.007,1,1.014,1,0.97,0.992,0.961,0.991,0.97,0.989,0.97,0.978,0.961,0.869,0.961,1,1.014,1,0.961,0.869,65.8,62
0.0470,0.0064,304.4,10.62,6.22,1105.9,1756.6,2656.7,3946.5,0.959,0.904,0.974,0.966,1.008,1,1.015,1,1.008,1,1.008,1,1.008,1,1.015,1,0.968,0.991,0.96,0.99,0.968,0.987,0.968,0.976,0.959,0.856,0.959,1,1.015,1,0.959,0.856,65.9,62
0.0500,0.0073,321,10.63,6.22,1105.9,1756.9,2656.7,3947.7,0.957,0.895,0.97,0.96,1.009,1,1.016,1,1.009,1,1.009,1,1.009,1,1.016,1,0.966,0.99,0.958,0.989,0.966,0.986,0.966,0.974,0.957,0.843,0.957,1,1.015,1,0.957,0.843,65.9,62.1
0.0520,0.0078,338.1,10.62,6.22,1105.9,1757.2,2656.7,3949,0.955,0.886,0.965,0.954,1.01,1,1.017,1,1.01,1,1.01,1,1.01,1,1.017,1,0.964,0.989,0.956,0.987,0.964,0.984,0.964,0.971,0.955,0.829,0.955,1,1.016,1,0.955,0.829,66,62.1
0.0550,0.0087,354.4,10.63,6.24,1105.9,1757.5,2656.7,3950.4,0.953,0.876,0.96,0.948,1.011,1,1.017,1,1.011,1,1.011,1,1.011,1,1.017,1,0.962,0.987,0.955,0.986,0.962,0.983,0.962,0.969,0.953,0.814,0.953,1,1.017,1,0.953,0.814,66,62.2
0.0580,0.0097,371.1,10.65,6.24,1105.9,1757.8,2656.7,3951.9,0.951,0.867,0.954,0.941,1.013,1,1.018,1,1.013,1,1.013,1,1.013,1,1.018,1,0.96,0.986,0.954,0.984,0.96,0.981,0.96,0.967,0.951,0.801,0.951,1,1.018,1,0.951,0.801,66.1,62.2
0.0600,0.0104,387.7,10.64,6.26,1105.9,1758.2,2656.7,3953.5,0.949,0.857,0.948,0.933,1.014,1,1.019,1,1.014,1,1.014,1,1.014,1,1.019,1,0.958,0.984,0.952,0.983,0.958,0.979,0.958,0.964,0.949,0.786,0.949,1,1.019,1,0.949,0.786,66.1,62.2
0.0630,0.0114,404.4,10.65,6.26,1105.9,1758.5,2656.7,3955.1,0.947,0.848,0.941,0.924,1.016,1,1.02,1,1.016,1,1.016,1,1.016,1,1.02,1,0.957,0.983,0.951,0.981,0.957,0.977,0.957,0.962,0.947,0.771,0.947,1,1.019,1,0.947,0.771,66.2,62.3
0.0650,0.0121,421.2,10.66,6.26,1105.9,1758.9,2656.7,3956.8,0.945,0.838,0.934,0.916,1.017,1,1.021,1,1.017,1,1.017,1,1.018,1,1.021,1,0.955,0.981,0.95,0.979,0.955,0.975,0.955,0.959,0.945,0.757,0.945,1,1.02,1,0.945,0.757,66.2,62.3
0.0680,0.0132,437.9,10.65,6.28,1105.9,1759.3,2656.7,3958.6,0.943,0.828,0.926,0.906,1.019,1,1.021,1,1.019,1,1.019,1,1.019,1,1.021,1,0.953,0.979,0.949,0.977,0.953,0.973,0.953,0.957,0.943,0.742,0.943,1,1.021,1,0.943,0.742,66.3,62.4
0.0710,0.0144,454.5,10.67,6.28,1105.9,1759.8,2656.7,3960.4,0.942,0.818,0.918,0.896,1.021,1,1.022,1,1.021,1,1.021,1,1.021,1,1.022,1,0.951,0.977,0.948,0.975,0.951,0.971,0.951,0.955,0.942,0.727,0.942,1,1.022,1,0.942,0.727,66.3,62.4
0.0730,0.0152,471.2,10.68,6.3,1105.9,1760.2,2656.7,3962.3,0.94,0.809,0.91,0.885,1.023,1,1.023,1,1.023,1,1.023,1,1.023,1,1.023,1,0.949,0.976,0.948,0.973,0.949,0.969,0.949,0.952,0.94,0.713,0.94,1,1.023,1,0.94,0.713,66.4,62.5
0.0760,0.0165,487.8,10.69,6.3,1105.9,1760.6,2656.7,3964.3,0.938,0.799,0.9,0.874,1.026,1,1.024,1,1.026,1,1.026,1,1.026,1,1.024,1,0.947,0.973,0.947,0.971,0.947,0.967,0.947,0.95,0.938,0.698,0.938,1,1.023,1,0.938,0.698,66.4,62.5
0.0780,0.0173,504.5,10.68,6.32,1105.9,1761.1,2656.7,3966.4,0.936,0.789,0.891,0.862,1.028,1,1.025,1,1.028,1,1.028,1,1.028,1,1.025,1,0.945,0.971,0.946,0.969,0.945,0.964,0.945,0.947,0.936,0.684,0.936,1,1.024,1,0.936,0.684,66.5,62.6
0.0810,0.0186,521.3,10.69,6.32,1105.9,1761.6,2656.7,3968.5,0.934,0.78,0.881,0.85,1.03,1,1.025,1,1.03,1,1.03,1,1.03,1,1.025,1,0.943,0.969,0.946,0.967,0.943,0.962,0.943,0.945,0.934,0.67,0.934,1,1.025,1,0.934,0.67,66.5,62.6
0.0840,0.0200,538,10.71,6.34,1105.9,1762.1,2656.7,3970.7,0.933,0.771,0.87,0.837,1.033,1,1.026,1,1.033,1,1.033,1,1.033,1,1.026,1,0.941,0.967,0.946,0.964,0.941,0.959,0.941,0.942,0.933,0.656,0.933,1,1.026,1,0.933,0.656,66.6,62.7
0.0860,0.0209,554.6,10.72,6.36,1105.9,1762.6,2656.7,3973,0.931,0.762,0.858,0.823,1.035,1,1.027,1,1.036,1,1.035,1,1.035,1,1.027,1,0.939,0.965,0.945,0.962,0.939,0.957,0.939,0.94,0.931,0.643,0.931,1,1.027,1,0.931,0.643,66.6,62.7
0.0890,0.0224,571.2,10.73,6.36,1105.9,1763.2,2656.1,3974.8,0.929,0.753,0.846,0.809,1.038,1,1.028,1,1.038,1,1.038,1,1.038,1,1.028,1,0.937,0.962,0.945,0.96,0.937,0.954,0.938,0.937,0.929,0.629,0.929,1,1.027,1,0.929,0.629,66.7,62.7
0.0920,0.0238,588.1,10.74,6.38,1105.9,1763.7,2655,3976.1,0.927,0.744,0.834,0.795,1.041,1,1.029,1,1.041,1,1.041,1,1.041,1,1.029,1,0.936,0.96,0.945,0.957,0.936,0.951,0.936,0.934,0.927,0.617,0.927,1,1.028,1,0.927,0.617,66.7,62.8
0.0940,0.0248,604.8,10.76,6.38,1105.9,1764.3,2653.5,3977.1,0.926,0.736,0.821,0.78,1.044,1,1.03,1,1.044,1,1.044,1,1.044,1,1.03,1,0.934,0.957,0.945,0.954,0.934,0.949,0.934,0.931,0.926,0.604,0.926,1,1.029,1,0.926,0.604,66.8,62.8
0.0970,0.0264,621.4,10.77,6.4,1105.9,1764.9,2651.6,3977.8,0.924,0.728,0.808,0.764,1.047,1,1.03,1,1.047,1,1.047,1,1.047,1,1.03,1,0.932,0.955,0.945,0.952,0.932,0.946,0.932,0.928,0.924,0.592,0.924,1,1.03,1,0.924,0.592,66.9,62.9
0.0990,0.0275,638.1,10.78,6.42,1105.9,1765.5,2649.6,3978.3,0.922,0.72,0.794,0.748,1.051,1,1.031,1,1.051,1,1.051,1,1.05,1,1.031,1,0.93,0.952,0.945,0.949,0.93,0.943,0.93,0.925,0.922,0.581,0.922,1,1.031,1,0.922,0.581,66.9,62.9
0.1020,0.0291,654.8,10.79,6.42,1105.9,1766.1,2647.3,3978.8,0.921,0.713,0.779,0.731,1.054,1,1.032,1,1.054,1,1.054,1,1.054,1,1.032,1,0.928,0.949,0.946,0.946,0.928,0.94,0.928,0.922,0.921,0.57,0.921,1,1.032,1,0.921,0.57,67,63
0.1050,0.0308,671.4,10.8,6.44,1105.9,1766.7,2644.8,3979.1,0.919,0.706,0.765,0.715,1.057,1,1.033,1,1.058,1,1.057,1,1.057,1,1.033,1,0.926,0.946,0.946,0.944,0.926,0.937,0.926,0.918,0.919,0.56,0.919,1,1.032,1,0.919,0.56,67,63
0.1070,0.0319,688.1,10.82,6.46,1105.9,1767.4,2642.2,3979.3,0.917,0.7,0.749,0.697,1.061,1,1.034,1,1.061,1,1.061,1,1.061,1,1.034,1,0.924,0.944,0.947,0.941,0.924,0.934,0.924,0.915,0.917,0.55,0.917,1,1.033,1,0.917,0.55,67.1,63
0.1100,0.0336,704.8,10.83,6.46,1105.9,1768,2639.5,3979.5,0.916,0.694,0.733,0.679,1.065,1,1.034,1,1.065,1,1.065,1,1.064,1,1.034,1,0.922,0.941,0.947,0.938,0.922,0.931,0.922,0.912,0.916,0.541,0.916,1,1.034,1,0.916,0.541,67.1,63.1
0.1120,0.0348,721.4,10.84,6.48,1105.9,1768.7,2636.7,3979.6,0.914,0.689,0.717,0.661,1.068,1,1.035,1,1.069,1,1.068,1,1.068,1,1.035,1,0.92,0.938,0.948,0.935,0.92,0.929,0.92,0.909,0.914,0.533,0.914,1,1.035,1,0.914,0.533,67.2,63.1
0.1150,0.0366,738.2,10.87,6.5,1105.9,1769.4,2633.7,3979.7,0.913,0.684,0.701,0.643,1.072,1,1.036,1,1.073,1,1.072,1,1.072,1,1.036,1,0.918,0.935,0.948,0.932,0.918,0.926,0.918,0.906,0.913,0.526,0.913,1,1.036,1,0.913,0.526,67.2,63.2
0.1180,0.0385,754.9,10.88,6.52,1105.9,1770.1,2624.9,3973.9,0.911,0.679,0.683,0.624,1.076,1,1.037,1,1.077,1,1.076,1,1.076,1,1.037,1,0.916,0.932,0.949,0.929,0.916,0.923,0.916,0.903,0.911,0.519,0.911,1,1.036,1,0.911,0.519,67.3,63.2
0.1200,0.0397,771.6,10.9,6.51,1105.9,1770.9,2618.3,3970.5,0.91,0.676,0.666,0.605,1.08,1,1.038,1,1.081,1,1.08,1,1.08,1,1.038,1,0.914,0.929,0.95,0.926,0.914,0.92,0.914,0.9,0.91,0.514,0.91,1,1.037,1,0.91,0.514,67.3,63.3
0.1230,0.0417,788.2,10.91,6.53,1105.9,1771.6,2613.3,3968.7,0.908,0.673,0.648,0.585,1.084,1,1.038,1,1.085,1,1.084,1,1.084,1,1.038,1,0.912,0.926,0.951,0.923,0.912,0.917,0.912,0.897,0.908,0.509,0.908,1,1.038,1,0.908,0.509,67.4,63.3
0.1250,0.0430,804.9,10.94,6.55,1105.9,1772.4,2609.6,3968.3,0.907,0.67,0.63,0.566,1.089,1,1.039,1,1.089,1,1.089,1,1.088,1,1.039,1,0.91,0.923,0.952,0.92,0.91,0.914,0.91,0.894,0.907,0.505,0.907,1,1.039,1,0.907,0.505,67.4,63.3
0.1280,0.0450,821.6,10.95,6.57,1105.9,1773.2,2606.7,3968.8,0.905,0.668,0.612,0.546,1.093,1,1.04,1,1.093,1,1.093,1,1.092,1,1.04,1,0.908,0.92,0.952,0.917,0.908,0.911,0.908,0.891,0.905,0.502,0.905,1,1.04,1,0.905,0.502,67.5,63.4
0.1310,0.0470,838.4,10.96,6.59,1105.9,1774,2604.6,3970.1,0.904,0.667,0.593,0.526,1.097,1,1.041,1,1.098,1,1.097,1,1.097,1,1.041,1,0.906,0.917,0.953,0.914,0.906,0.908,0.906,0.889,0.904,0.501,0.904,1,1.04,1,0.904,0.501,67.5,63.4
0.1330,0.0484,855.1,11,6.59,1105.9,1774.8,2603.1,3972,0.902,0.667,0.574,0.506,1.101,1,1.042,1,1.102,1,1.102,1,1.101,1,1.042,1,0.904,0.914,0.954,0.911,0.904,0.905,0.904,0.886,0.902,0.5,0.902,1,1.041,1,0.902,0.5,67.6,63.5
0.1360,0.0505,871.6,11.01,6.61,1105.9,1775.6,2601.9,3974.4,0.901,0.667,0.557,0.486,1.106,1,1.042,1,1.106,1,1.106,1,1.105,1,1.042,1,0.902,0.911,0.955,0.908,0.902,0.903,0.902,0.884,0.901,0.5,0.901,1,1.042,1,0.901,0.5,67.6,63.5
0.1380,0.0519,888.2,11.04,6.63,1105.9,1776.5,2601,3977.1,0.899,0.667,0.542,0.467,1.109,1,1.043,1,1.11,1,1.109,1,1.109,1,1.043,1,0.9,0.908,0.955,0.906,0.9,0.9,0.9,0.882,0.899,0.5,0.899,1,1.043,1,0.899,0.5,67.7,63.6
0.1410,0.0540,904.9,11.05,6.65,1105.9,1777.3,2600.3,3980.1,0.898,0.667,0.526,0.447,1.112,1,1.044,1,1.113,1,1.113,1,1.112,1,1.044,1,0.898,0.906,0.956,0.903,0.898,0.897,0.898,0.879,0.898,0.5,0.898,1,1.044,1,0.898,0.5,67.7,63.6
0.1440,0.0562,921.6,11.08,6.67,1105.9,1778.2,2599.8,3983.3,0.897,0.667,0.51,0.427,1.116,0.999,1.045,1,1.117,1,1.117,1,1.116,1,1.045,1,0.895,0.903,0.956,0.9,0.896,0.894,0.896,0.877,0.897,0.5,0.897,1,1.045,1,0.897,0.5,67.8,63.2
0.1460,0.0577,938.4,11.1,6.68,1105.9,1779.1,2599.5,3986.8,0.895,0.667,0.494,0.407,1.119,0.998,1.046,1,1.121,1,1.121,1,1.12,1,1.046,1,0.893,0.9,0.956,0.897,0.894,0.891,0.894,0.874,0.895,0.5,0.895,1,1.045,1,0.895,0.5,67.9,63.6
0.1490,0.0600,955,11.13,6.7,1105.9,1780,2599.2,3990.3,0.894,0.667,0.478,0.388,1.122,0.997,1.046,1,1.125,1,1.125,1,1.125,1,1.046,1,0.891,0.897,0.957,0.894,0.891,0.888,0.892,0.872,0.894,0.5,0.894,1,1.046,1,0.894,0.5,67.9,63.7
0.1510,0.0615,971.5,11.14,6.71,1105.9,1780.9,2599,3994,0.892,0.667,0.461,0.369,1.125,0.996,1.047,1,1.129,1,1.129,1,1.129,1,1.047,1,0.889,0.894,0.958,0.891,0.889,0.885,0.89,0.869,0.892,0.5,0.892,1,1.047,1,0.892,0.5,68,63.8
0.1540,0.0638,988.4,11.17,6.73,1105.9,1781.9,2598.8,3997.8,0.891,0.667,0.444,0.35,1.127,0.994,1.048,1,1.134,1,1.133,1,1.133,1,1.048,1,0.887,0.891,0.958,0.888,0.887,0.883,0.888,0.867,0.891,0.5,0.891,1,1.048,1,0.891,0.5,68,63.8
0.1570,0.0662,1005,11.18,6.74,1105.9,1782.8,2598.7,4001.7,0.89,0.667,0.419,0.331,1.131,0.992,1.049,1,1.14,1,1.14,1,1.139,1,1.049,1,0.885,0.888,0.961,0.885,0.885,0.88,0.886,0.865,0.89,0.5,0.89,1,1.049,1,0.89,0.5,68.1,63.8
0.1590,0.0678,1021.8,11.22,6.76,1105.9,1783.8,2598.6,4005.7,0.888,0.667,0.395,0.313,1.133,0.989,1.05,1,1.146,1,1.146,1,1.145,1,1.05,1,0.883,0.885,0.963,0.882,0.883,0.877,0.884,0.862,0.888,0.5,0.888,1,1.05,1,0.888,0.5,68.1,63.9
0.1620,0.0702,1038.5,11.25,6.77,1105.9,1784.8,2598.5,4009.8,0.887,0.667,0.372,0.295,1.136,0.986,1.05,1,1.152,1,1.152,1,1.151,1,1.051,1,0.881,0.882,0.965,0.879,0.881,0.874,0.881,0.86,0.887,0.5,0.887,1,1.05,1,0.887,0.5,68.2,63.9
0.1650,0.0727,1055,11.28,6.78,1105.9,1785.8,2598.5,4014,0.886,0.667,0.351,0.278,1.137,0.982,1.051,0.999,1.158,1,1.157,1,1.156,1,1.051,1,0.879,0.879,0.967,0.876,0.879,0.871,0.879,0.857,0.886,0.5,0.886,1,1.051,1,0.886,0.5,68.2,64
0.1670,0.0744,1071.7,11.29,6.8,1105.9,1786.8,2598.5,4018.2,0.885,0.667,0.331,0.261,1.138,0.978,1.051,0.998,1.164,1,1.163,1,1.162,1,1.052,1,0.877,0.876,0.968,0.873,0.877,0.868,0.878,0.854,0.885,0.5,0.885,1,1.052,1,0.885,0.5,68.3,64
0.1700,0.0769,1088.4,11.32,6.48,1105.9,1787.8,2598.4,4022.5,0.883,0.667,0.304,0.245,1.139,0.973,1.051,0.997,1.171,1,1.17,1,1.169,1,1.053,1,0.875,0.873,0.971,0.87,0.875,0.865,0.876,0.851,0.883,0.5,0.883,1,1.053,1,0.883,0.5,68.4,64.1
0.1720,0.0786,1105.2,11.35,6.49,1105.9,1788.9,2598.4,4026.8,0.882,0.667,0.294,0.228,1.137,0.968,1.05,0.996,1.174,1,1.174,1,1.172,1,1.054,1,0.873,0.87,0.971,0.868,0.873,0.862,0.874,0.848,0.882,0.5,0.882,1,1.054,1,0.882,0.5,68.4,64.1
0.1750,0.0812,1121.8,11.38,6.5,1105.9,1790,2598.4,4031.2,0.881,0.667,0.284,0.213,1.133,0.962,1.05,0.995,1.178,1,1.177,1,1.176,1,1.055,1,0.871,0.867,0.971,0.865,0.871,0.859,0.872,0.845,0.881,0.5,0.881,1,1.055,1,0.881,0.5,68.5,64.2
0.1780,0.0838,1141.9,11.42,6.51,1105.9,1791.1,2598.4,4035.7,0.88,0.667,0.274,0.198,1.13,0.955,1.049,0.993,1.181,1,1.181,1,1.18,1,1.057,1,0.869,0.864,0.971,0.862,0.869,0.857,0.87,0.842,0.88,0.5,0.88,1,1.056,1,0.88,0.5,68.6,64.2
0.1810,0.0864,1155.3,11.45,6.52,1105.9,1792.2,2598.4,4040.5,0.878,0.667,0.262,0.18,1.124,0.946,1.048,0.99,1.186,1,1.185,1,1.185,1,1.058,1,0.867,0.861,0.971,0.858,0.867,0.853,0.868,0.838,0.878,0.5,0.878,1,1.058,1,0.878,0.5,68.7,64.3
0.1830,0.0882,1171.9,11.46,6.53,1105.9,1793.3,2598.4,4045,0.877,0.667,0.255,0.17,1.12,0.94,1.047,0.988,1.189,1,1.189,1,1.188,1,1.059,1,0.866,0.858,0.971,0.856,0.866,0.851,0.866,0.836,0.877,0.5,0.877,1,1.059,1,0.877,0.5,68.7,64.4
0.1850,0.0900,1188.4,11.49,6.54,1105.9,1794.4,2598.4,4049.6,0.876,0.667,0.245,0.156,1.114,0.931,1.045,0.985,1.193,1,1.193,1,1.192,1,1.06,1,0.864,0.855,0.971,0.853,0.864,0.848,0.865,0.833,0.876,0.5,0.876,1,1.06,1,0.876,0.5,68.8,64.4
0.1880,0.0927,1205.2,11.52,6.55,1105.9,1795.6,2598.4,4054.3,0.875,0.667,0.232,0.144,1.108,0.922,1.043,0.982,1.198,1,1.197,1,1.197,1,1.062,1,0.862,0.853,0.972,0.85,0.863,0.845,0.863,0.83,0.875,0.5,0.875,1,1.062,1,0.875,0.5,68.9,64.5
0.1910,0.0955,1221.8,11.55,6.56,1105.9,1796.7,2598.4,4059,0.874,0.667,0.214,0.131,1.103,0.912,1.041,0.978,1.204,1,1.204,1,1.203,1,1.063,1,0.861,0.85,0.974,0.847,0.861,0.842,0.861,0.826,0.874,0.5,0.874,1,1.063,1,0.874,0.5,69,64.6
0.1930,0.0974,1238.6,11.6,6.57,1105.9,1797.9,2598.4,4063.8,0.872,0.667,0.197,0.12,1.096,0.902,1.038,0.974,1.21,1,1.21,1,1.209,1,1.065,1,0.859,0.847,0.976,0.844,0.859,0.839,0.86,0.823,0.872,0.5,0.872,1,1.065,1,0.872,0.5,69.1,64.7
0.1960,0.1002,1255.4,11.63,6.59,1105.9,1799.1,2598.4,4068.6,0.871,0.667,0.183,0.109,1.088,0.891,1.035,0.969,1.216,1,1.216,1,1.215,1,1.066,1,0.858,0.844,0.977,0.841,0.858,0.836,0.858,0.82,0.871,0.5,0.871,1,1.066,1,0.871,0.5,69.2,64.8
0.1980,0.1021,1271.9,11.67,6.6,1105.9,1800.3,2598.4,4073.5,0.87,0.667,0.169,0.098,1.079,0.879,1.031,0.964,1.222,1,1.221,1,1.22,1,1.068,1,0.856,0.841,0.979,0.838,0.857,0.833,0.857,0.817,0.87,0.5,0.87,1,1.068,1,0.87,0.5,69.3,64.9
0.2010,0.1050,1288.6,11.7,6.27,1105.9,1801.5,2598.4,4078.5,0.869,0.667,0.136,0.088,1.074,0.867,1.027,0.958,1.232,1,1.232,1,1.23,1,1.07,1,0.855,0.838,0.984,0.835,0.855,0.831,0.856,0.814,0.869,0.5,0.869,1,1.07,1,0.869,0.5,69.4,65
0.2040,0.1079,1305.4,11.73,6.27,1105.9,1802.8,2598.4,4083.5,0.868,0.667,0.12,0.079,1.064,0.853,1.023,0.952,1.239,1,1.238,1,1.237,1,1.072,1,0.854,0.835,0.986,0.832,0.854,0.828,0.854,0.811,0.868,0.5,0.868,1,1.072,1,0.868,0.5,69.5,65.1
0.2060,0.1098,1321.9,11.76,6.28,1105.9,1804,2598.4,4088.5,0.867,0.667,0.105,0.07,1.053,0.84,1.018,0.945,1.246,1,1.245,1,1.243,1,1.074,1,0.852,0.832,0.988,0.83,0.853,0.825,0.853,0.809,0.867,0.5,0.867,1,1.074,1,0.867,0.5,69.7,65.2
0.2090,0.1128,1338.6,11.81,6.31,1105.9,1805.3,2598.4,4093.6,0.866,0.667,0.092,0.062,1.041,0.826,1.012,0.938,1.252,1,1.251,1,1.249,1,1.076,1,0.851,0.829,0.99,0.827,0.852,0.822,0.852,0.806,0.866,0.5,0.866,1,1.076,1,0.866,0.5,69.8,65.3
0.2110,0.1148,1355.3,11.84,6.31,1105.9,1806.6,2598.4,4098.8,0.864,0.667,0.08,0.055,1.028,0.811,1.006,0.93,1.258,1,1.257,1,1.254,1,1.078,1,0.85,0.826,0.991,0.824,0.851,0.819,0.851,0.804,0.864,0.5,0.864,1,1.078,1,0.864,0.5,69.9,65.4
